package,URI,label,comment,hasRootPattern,usesLoopback,usesParallel
package#5G,domain#MP-RrBc-rC,RrBc-rC,"Finds a host acting as a base station providing a RAN and connected to an backbone network, both of which are part of a cellular network.",domain#R-RrBcC,FALSE,TRUE
package#5G,domain#MP-RrBrL3,RrBrL3,"Finds a host acting as a base station providing a RAN in a cellular network, and also providing an L2 or L3 Subnet that is not part of the cellular network.",domain#R-RrBrL3,FALSE,FALSE
package#5G,domain#MP-UCc-rBrUR,UCc-rBrUR,"Finds a host acting as a base station providing a RAN and connected to an backbone network, both of which are part of a public cellular network.",domain#R-UCcBrUR,FALSE,TRUE
package#5G,domain#MP-UCNSRAN-p,UCNSRAN-p,Finds a backbone network implementing a public cellular network accessible from a space in which it has a radio access network not provided by any host.,domain#R-UCNSRAN,FALSE,FALSE
package#5G,domain#MP-URrBc-rL3,URrBc-rL3,"Finds a host acting as a base station providing a RAN in a public cellular network, and connected to an L2 or L3 Subnet accessible in the same Space, which is not provided by the base station, nor acting as part of the cellular network.",domain#R-URrBcL3,FALSE,TRUE
package#5G,domain#MP-URrBrUR,URrBrUR,"Finds a host acting as a base station providing two RANs, both of which are part of the same public cellular network, and may or may not be the same RAN.",domain#R-URrBrUR,FALSE,FALSE
package#Application,domain#MP-CP,CP,Finds a solo Control Process.,domain#R-CP,FALSE,FALSE
package#Application,domain#MP-D,D,Finds a solo Data asset that is not unsolicited email.,domain#R-D,FALSE,FALSE
package#Application,domain#MP-HHuWE,HHuWE,Finds a Human using both an email client and a web browser on the same host.,domain#R-HHuWE,FALSE,FALSE
package#Application,domain#MP-HHuWSMS,HHuWSMS,Finds a Human using both an SMS client and a web browser on the same host.,domain#R-HHuWSMS,FALSE,FALSE
package#Application,domain#MP-HIP-Hu,HIP-Hu,Finds a host running an interactive process that doesn't have a user.,domain#R-HIP,FALSE,FALSE
package#Application,domain#MP-HuaID,HuaID,"Finds a Human interactively entering Data, where this is expressed as a single relationship and labelled as having been asserted.",domain#R-HuaID,FALSE,FALSE
package#Application,domain#MP-HuaUD,HuaUD,"Finds a Human interactively amending Data, where this is expressed as a single relationship and labelled as having been asserted.",domain#R-HuaUD,FALSE,FALSE
package#Application,domain#MP-HuaVD,HuaVD,"Finds a Human interactively viewing Data, where this is expressed as a single relationship and labelled as having been asserted.",domain#R-HuaVD,FALSE,FALSE
package#Application,domain#MP-HuHWES,HuHWES,Finds a Human using a web browser running on a host to access email.,domain#R-HuHWES,FALSE,FALSE
package#Application,domain#MP-HuiCHDtS-AC,HuiCHDtS-AC,"Finds a human interacting with a console host and a desktop service running on a remote host, where the user does not interact with a desktop client that uses the desktop service.",domain#R-HuiCHDtS,FALSE,FALSE
package#Application,domain#MP-HuiPiDCHS,HuiPiDCHS,Finds a user interacting directly with a process to enter data using a console host located in a space.,domain#R-HuiPiDCHS,FALSE,FALSE
package#Application,domain#MP-HuiRACHSPiD,HuiRACHSPiD,Finds a user entering data via remote interaction with a process using a remote access client on a console host located in a space.,domain#R-HuiRACHSPiD,FALSE,FALSE
package#Application,domain#MP-HuirEc-rD,HuirEc-rD,Finds a Human interacting (possibly remotely) with an Editor that creates but does not receive Data.,domain#R-HuirEcD,FALSE,TRUE
package#Application,domain#MP-HuirEr-vD-cC-iHu-DS,HuirEr-vD-cC-iHu-DS,"Finds Human interacting remotely with an Editor that receives Data that is not viewed by the Human, and which is not created by any process, stored on any Host, nor input by any Human.",domain#R-HuirErD,FALSE,FALSE
package#Application,domain#MP-HuirIPaD,HuirIPaD,Finds Human interacting remotely with an Interactive Process that amends data.,domain#R-HuirIPaD,FALSE,FALSE
package#Application,domain#MP-HuirIPp-iD,HuirIPp-iD,"Finds Human interacting (possibly remotely) with an Interactive Process that processes Data, where the Human does not enter the Data.",domain#R-HuirIPpD,FALSE,TRUE
package#Application,domain#MP-HuirIPp-xD,HuirIPp-xD,"Finds Human interacting (possibly remotely) with an Interactive Process that processes Data, where the Human does not interact with the Data.",domain#R-HuirIPpD,FALSE,FALSE
package#Application,domain#MP-HuirPaD+eUI-O,HuirPaD+eUI-O,"Finds Human interacting (possibly remotely) with a process that amends (creates and receives) data, and enables user input but not output of the data.",domain#R-HuirPaD+eUI,FALSE,TRUE
package#Application,domain#MP-HuirPc-iD-rC-vHu-DS,HuirPc-iD-rC-vHu-DS,"Finds a Human interacting (possibly remotely) with a process that creates data, where the data is not stored on any host, used by any process nor viewed by any user, and the Human does not enter the Data.",domain#R-HuirPcD,FALSE,TRUE
package#Application,domain#MP-HuirPeID,HuirPeID,Finds a human interacting (possibly remotely) with a process that enables user entry of some Data.,domain#R-HuirPeID,FALSE,FALSE
package#Application,domain#MP-HuirPeI-OD-p,HuirPeI-OD-p,"Finds a human interacting (possibly remotely) with a process that enables user entry of some Data, but does not process the data.",domain#R-HuirPeID,FALSE,TRUE
package#Application,domain#MP-HuirPeI-OD-p-cC-iHu-DS,HuirPeI-OD-p-cC-iHu-DS,"Finds a human interacting (possibly remotely) with a process that enables user access to some Data, but does not process the data, and where the Data is not an input from any user, an output of any process, and is not stored, i.e., the data has no source.",domain#R-HuirPeOD,FALSE,TRUE
package#Application,domain#MP-HuirPeOD,HuirPeOD,Finds a human interacting (possibly remotely) with a process that enables user access to some Data.,domain#R-HuirPeOD,FALSE,FALSE
package#Application,domain#MP-HuirPeO-ID-p,HuirPeO-ID-p,"Finds a human interacting (possibly remotely) with a process that enables user access to some Data, but does not process the data.",domain#R-HuirPeOD,FALSE,TRUE
package#Application,domain#MP-HuirPeUD,HuirPeUD,Finds a human interacting (possibly remotely) with a process that enables user update of some Data.,domain#R-HuirPeUD,FALSE,FALSE
package#Application,domain#MP-HuirPeUD-a,HuirPeUD-a,"Finds a human interacting (possibly remotely) with a process that enables user update of some Data, but does not yet amend the data.",domain#R-HuirPeUD,FALSE,TRUE
package#Application,domain#MP-HuirPr-iD-cD,HuirPr-iD-cD,"Finds Human interacting remotely with a Process that receives Data, but does not create any output, and the Human does not enter the Data.",domain#R-HuirPrD,FALSE,TRUE
package#Application,domain#MP-HuirPr-vD-cC-iHu-DS,HuirPr-vD-cC-iHu-DS,"Finds Human interacting remotely with a Process that receives Data that is not viewed by the Human, and which is not created by any process, stored on any Host, nor input by any Human.",domain#R-HuirPrD,FALSE,TRUE
package#Application,domain#MP-HuirPsD,HuirPsD,Finds Human interacting (possibly remotely) with a process that serves data. This conflicts with domain model assumptions.,domain#R-HuirPsD,FALSE,FALSE
package#Application,domain#MP-Hui-uD,Hui-uD,"Finds a Human entering Data, but not implied by an amends relationship.",domain#R-HuiD,FALSE,TRUE
package#Application,domain#MP-HuuD,HuuD,"Finds a Human interactively amending Data, where this is expressed as a single relationship.",domain#R-HuuD,FALSE,FALSE
package#Application,domain#MP-Huv-iD-P,Huv-iD-P,"Finds a Human viewing but not entering Data, where the Data is not Spam, and there is no interactive process mediating the interaction.",domain#R-HuvD,FALSE,TRUE
package#Application,domain#MP-Huv-uD,Huv-uD,"Finds a Human viewing Data, but not implied by an amends relationship.",domain#R-HuvD,FALSE,FALSE
package#Application,domain#MP-HuWES,HuWES,Finds a Human using a web browser to access email.,domain#R-HuWES,FALSE,FALSE
package#Application,domain#MP-PpD+noDU,PpD+noDU,"Finds a Process that is processing Data, where the Process has a self-referential noDU link indicating it should not be processing data.",domain#R-PpD+noDU,FALSE,FALSE
package#Application,domain#MP-RDuHP-iPL-RAS,RDuHP-iPL-RAS,"Finds a Host running a Process that is not a remote access service or reverse proxy, but is used remotely by a Remote Desktop client, not mediated by a collocated remote access service, nor by a reverse proxy.",domain#R-RDuHP,FALSE,TRUE
package#Application,domain#MP-RDuRDuS-uR,RDuRDuS-uR,Finds a remote desktop using remotely another remote desktop which is using remotely a third process that is not yet remotely used by the first.,domain#R-RDuRDuS,FALSE,FALSE
package#Application,domain#MP-RDuRTuS-uR,RDuRTuS-uR,Finds a remote desktop using remotely a remote terminal which is using remotely a third process that is not yet remotely used by the first.,domain#R-RDuRTuS,FALSE,FALSE
package#CloudManagement,domain#MP-Ct,Ct,Finds a solo Container.,domain#R-Ct,FALSE,FALSE
package#CloudManagement,domain#MP-CtDS,CtDS,Finds a Container that stores a copy of Data (which is actually not allowed).,domain#R-CtDS,FALSE,FALSE
package#CloudManagement,domain#MP-CtHaH,CtHaH,Finds a Container provisioned by a Host that is above another Host.,domain#R-CtHaH,FALSE,FALSE
package#CloudManagement,domain#MP-CtHhPH,CtHhPH,Finds a Container provisioned by a Host that has a PhysicalHost.,domain#R-CtHhPH,FALSE,FALSE
package#CloudManagement,domain#MP-CtH-iP,CtH-iP,Finds a container provisioned by a Host that is not a Pod.,domain#R-CtH,FALSE,FALSE
package#CloudManagement,domain#MP-DCCM-A,DCCM-A,Finds a Data Centre with a Cluster on which is provisioned a Pod management Master node that does not yet host an API Server.,domain#R-DCCM,FALSE,FALSE
package#CloudManagement,domain#MP-DCCMCAP,DCCMCAP,Finds a process controlling a data centre hosting a K8s master node running a K8s API server and Ingress proxy.,domain#R-DCCMCAP,FALSE,FALSE
package#CloudManagement,domain#MP-DCCM-P,DCCM-P,Finds a Data Centre with a Cluster on which is provisioned a Pod management Master node that does not yet host an Ingress reverse proxy.,domain#R-DCCM,FALSE,FALSE
package#CloudManagement,domain#MP-DCCt-Pod,DCCt-Pod,Finds a Container managed directly by a Data Centre and not via a Pod.,domain#R-DCCt,FALSE,FALSE
package#CloudManagement,domain#MP-DCMW-LS,DCMW-LS,"Finds a K8s Master and Worker on the same (cluster) Host in a Data Centre, where the Master and Worker are not on any common subnet.",domain#R-DCMW,FALSE,FALSE
package#CloudManagement,domain#MP-DCPHM,DCPHM,Finds a K8s Master whose physical host is in a Data Centre.,domain#R-DCPHM,FALSE,FALSE
package#CloudManagement,domain#MP-DCPHW,DCPHW,Finds a K8s Worker whose physical host is in a Data Centre.,domain#R-DCPHW,FALSE,FALSE
package#CloudManagement,domain#MP-DCPS-Pod,DCPS-Pod,"Finds a Process hosted directly on a Data Centre, but not contained by a Pod managed by the Data Centre.",domain#R-DCPS,FALSE,FALSE
package#CloudManagement,domain#MP-DCVHC,DCVHC,"Finds a DataCentre containing a Cluster, and a Virtual Host.managed by the Data Centre rather than being provisioned on a Host.",domain#R-DCVHC,FALSE,FALSE
package#CloudManagement,domain#MP-HCt,HCt,Finds a host provisioned by a container.,domain#R-HCt,FALSE,FALSE
package#CloudManagement,domain#MP-Hum-iH-AC,Hum-iH-AC,Finds a human remotely managing a host but lacking a suitable connection to its management service.,domain#R-HumHcS,FALSE,TRUE
package#CloudManagement,domain#MP-Hum-iHRAS,Hum-iHRAS,Finds a human managing but not interacting with a host that is not a Pod and has a root privileged remote access service.,domain#R-HumHRAS,FALSE,TRUE
package#CloudManagement,domain#MP-Hum-iSH-LnS,Hum-iSH-LnS,"Finds a Human managing but not interacting with a Shell Host, where there is no process controlling the host.",domain#R-HumSH,FALSE,TRUE
package#CloudManagement,domain#MP-HumPC-Hu,HumPC-Hu,Finds an unmanaged Container of a Process managed by a Human.,domain#R-HumPC,FALSE,FALSE
package#CloudManagement,domain#MP-KIP-S,KIP-S,"Finds an Ingress proxy mediating access to a service, but not controlled by any other process.",domain#R-KIP,FALSE,FALSE
package#CloudManagement,domain#MP-KPxCaaSI,KPxCaaSI,"Finds a Pod managed by K8S or equivalent, hosting an unprivileged service in a Container, accessed for authentication purposes by a client from outside the K8S cluster.",domain#R-KPxCaaSI,FALSE,TRUE
package#CloudManagement,domain#MP-KPxCazSI,KPxCazSI,"Finds a Pod managed by K8S or equivalent, hosting an unprivileged service in a Container, accessed for authorization purposes by a client from outside the K8S cluster.",domain#R-KPxCazSI,FALSE,TRUE
package#CloudManagement,domain#MP-KPxCLnSA,KPxCLnSA,"Finds a Pod managed by K8S or equivalent, hosting a remote access service running in and controlling a Container, and used by a client from outside the K8S cluster.",domain#R-KPxCLnSA,FALSE,FALSE
package#CloudManagement,domain#MP-KPxCuScP,KPxCuScP,"Finds a Pod managed by K8S or equivalent, hosting an unprivileged service in a Container, which controls another service accessed by a client from outside the K8S cluster.",domain#R-KPxCuScP,FALSE,TRUE
package#CloudManagement,domain#MP-KPxCuuSI,KPxCuuSI,"Finds a Pod managed by K8S or equivalent, hosting an unprivileged service in a Container, accessed by a client from outside the K8S cluster.",domain#R-KPxCuuSI,FALSE,TRUE
package#CloudManagement,domain#MP-KPxMLnSA,KPxMLnSA,"Finds a Remote Access Service that runs on and controls a K8s Master node that runs a K8s API Server, connected via a Subnet to a K8s Worker cluster, and used by a client from outside the K8S cluster.",domain#R-KPxMLnSA,FALSE,FALSE
package#CloudManagement,domain#MP-KPxWLnSA,KPxWLnSA,"Finds a Remote Access Service that runs on and controls a K8s Worker node, connected via a Subnet to a Master that runs a K8s API Server, and used by a client from outside the K8S cluster.",domain#R-KPxWLnSA,FALSE,FALSE
package#CloudManagement,domain#MP-MWHLS,MWHLS,"Finds K8s Master and Worker nodes on the same (cluster) host, and connected to the same subnet.",domain#R-MWHLS,FALSE,FALSE
package#CloudManagement,domain#MP-MWPodLS2,MWPodLS2,"Finds a Pod running on a K8s Worker connected via a Logical Subnet to a K8s Master, which can also access an overlay on the Logical Subnet.",domain#R-MWPodLS2,FALSE,FALSE
package#CloudManagement,domain#MP-Pc-hSHLnS,Pc-hSHLnS,"Finds a Process controlling a Shell Host that runs a Remote Access Service, but the Shell Host is not a Pod and not the Process host.",domain#R-PcSHLnS,FALSE,TRUE
package#CloudManagement,domain#MP-PodCnD,PodCnD,Finds Data stored on a Container provisioned by a Pod.,domain#R-PodCnD,FALSE,FALSE
package#CloudManagement,domain#MP-PodCnP,PodCnP,Finds a Process hosted by a Container provisioned by a Pod.,domain#R-PodCnP,FALSE,FALSE
package#CloudManagement,domain#MP-PodCnPD,PodCnPD,Finds a Container running a Process that handles Data stored on the associated Pod.,domain#R-PodCnPD,FALSE,FALSE
package#CloudManagement,domain#MP-PodDCC-M,PodDCC-M,"Finds a Pod managed by a Data Centre that has a Cluster, but there is no Master node provisioned on the Cluster.",domain#R-PodDCC,FALSE,FALSE
package#CloudManagement,domain#MP-PodDCMC-W-H,PodDCMC-W-H,"Finds a K8s Pod with no Host managed by a Data Centre that has a Cluster with a K8s Master, where the Data Centre does not yet have a K8s Worker cluster.",domain#R-PodDCMC,FALSE,FALSE
package#CloudManagement,domain#MP-PodHaH,PodHaH,Finds a Pod provisioned by a Host that is above another Host.,domain#R-PodHaH,FALSE,FALSE
package#CloudManagement,domain#MP-PodHhPH,PodHhPH,Finds a Pod provisioned by a Host that has a PhysicalHost.,domain#R-PodHhPH,FALSE,FALSE
package#CloudManagement,domain#MP-PodMP,PodMP,Finds a solo Pod.,domain#R-Pod,FALSE,FALSE
package#CloudManagement,domain#MP-PodP-Cn,PodP-Cn,Finds a Pod containing a Process but with no intervening Container.,domain#R-PodP,FALSE,FALSE
package#CloudManagement,domain#MP-SHVH,SHVH,Finds a Virtual Host provisioned on a Simple Host that is not a Pod.,domain#R-SHVH,FALSE,FALSE
package#CloudManagement,domain#MP-VH-LnS,VH-LnS,Finds a Virtual Host that is not controlled by any process.,domain#R-VH,FALSE,TRUE
package#DataLifecycle,domain#MP-CSDF-VdDA2,CSDF-VdDA2,Finds two process participating in a data flow not encrypted with keys from a vault.,domain#R-CSDFDA2,FALSE,FALSE
package#DataLifecycle,domain#MP-D+DS-cP-iHu,D+DS-cP-iHu,"Finds a Data asset that is not email and is not created by any process or user input, but is stored on at least one host. Such Data would need to be static for this situation to make sense.",domain#R-D,FALSE,FALSE
package#DataLifecycle,domain#MP-DADS,DADS,Finds a Data Access fulfilling a Data Copy.,domain#R-DADS,FALSE,FALSE
package#DataLifecycle,domain#MP-DADSDCSDD-f,DADSDCSDD-f,"Finds an active data channel carrying a forward flow that ends at a data destination that is itself a data source, and the channel beyond that source to another destination on the same data path.",domain#R-DADSDCSDD,FALSE,FALSE
package#DataLifecycle,domain#MP-DADU-eS,DADU-eS,"Finds a service controlling access to a data access, which fulfils a data use that is not yet controlled by any process.",domain#R-DADU,FALSE,FALSE
package#DataLifecycle,domain#MP-DAllDS,DAllDS,Finds all stored copies of a Data asset.,domain#R-D,FALSE,FALSE
package#DataLifecycle,domain#MP-DAOiDADInDF-i,DAOiDADInDF-i,"Finds an output data asset that includes a field contained in the data fulfilling (via a data access) an input data asset that needs the field, where the data is not spam, and the input data asset does not yet include the field.",domain#R-DAOiDADInDF,FALSE,TRUE
package#DataLifecycle,domain#MP-DAO-iDADInDF-n,DAO-iDADInDF-n,"Finds an output data asset fulfilling (via a data access) an input data asset that needs a field contained in the data, where the data is not spam, and the output asset does not yet need or include this field.",domain#R-DAODADInDF,FALSE,TRUE
package#DataLifecycle,domain#MP-DAPDADF-g,DAPDADF-g,"Finds a Process receiving Data that contains a Data Field, via a Data Asset, where the data is not spam, the process does not ignore the field, and the data asset does not already include the field.",domain#R-DAPDADF,FALSE,FALSE
package#DataLifecycle,domain#MP-DA-VDBs-pDA,DA-VDBs-pDA,"Finds a DB processing data queries using a data asset, which is not encrypted with keys from a vault.",domain#R-DADBsDA,FALSE,TRUE
package#DataLifecycle,domain#MP-DAVPDA,DAVPDA,Finds a Process consuming a data asset controlled by a vault.,domain#R-DAVPDA,FALSE,FALSE
package#DataLifecycle,domain#MP-DA-VPpDA,DA-VPpDA,"Finds a Process processing data using a data asset, which is not encrypted by keys from a vault.",domain#R-DAPpDA,FALSE,FALSE
package#DataLifecycle,domain#MP-DBsDRDF-V,DBsDRDF-V,"Finds a DB serving data that is stored on a separate Host and supplied to the DB in a data flow, not encrypted with keys from a vault.",domain#R-DBsDRDF,FALSE,FALSE
package#DataLifecycle,domain#MP-DBs-pDADA-V,DBs-pDADA-V,"Finds a DB processing queries to create a data asset, which is not encrypted by keys from a vault.",domain#R-DBsDADA,FALSE,TRUE
package#DataLifecycle,domain#MP-DC1,DC1,Finds a solo Data Channel.,domain#R-DC1,FALSE,FALSE
package#DataLifecycle,domain#MP-DC2TDRfDP2,DC2TDRfDP2,Finds an active forward (output) data channel leading to a transparent data relay from which another active channel continues along the same data path.,domain#R-DC2TDRfDP2,FALSE,FALSE
package#DataLifecycle,domain#MP-DC2TDRrDP2,DC2TDRrDP2,Finds an active reverse (input) data channel leading to a transparent data relay from which another active channel continues along the same data path.,domain#R-DC2TDRrDP2,FALSE,FALSE
package#DataLifecycle,domain#MP-DC2xfDA2,DC2xfDA2,Finds a forward Data Channel from a Data Source that extends another Data Channel to a Data Destination.,domain#R-DC2xfDA2,FALSE,FALSE
package#DataLifecycle,domain#MP-DC2xrDA2,DC2xrDA2,Finds a reverse Data Channel from a Data Destination that extends another Data Channel to a Data Source.,domain#R-DC2xrDA2,FALSE,FALSE
package#DataLifecycle,domain#MP-DC3-x,DC3-x,"Finds a data channel which extends a second channel which extends a third channel, but the first channel does not yet extend the third.",domain#R-DC3,FALSE,FALSE
package#DataLifecycle,domain#MP-DC3xf-xf,DC3xf-xf,"Finds an active forward data channel that extends a second channel that extends a third channel (meaning there are transparent relay processes between the channels), but the first channel does not yet extend the third.",domain#R-DC3xf,FALSE,FALSE
package#DataLifecycle,domain#MP-DC3xr-xr,DC3xr-xr,"Finds an active reverse data channel that extends a second channel that extends a third channel (meaning there are transparent relay processes between the channels), but the first channel does not yet extend the third.",domain#R-DC3xr,FALSE,FALSE
package#DataLifecycle,domain#MP-DCDFcV,DCDFcV,Finds a Data Flow controlled by a key Vault for which there is a Data Cache.,domain#R-DCDFcV,FALSE,FALSE
package#DataLifecycle,domain#MP-DCDFDF,DCDFDF,Finds a Data Flow containing a Data Field for which there is a Data Cache.,domain#R-DCDFDF,FALSE,FALSE
package#DataLifecycle,domain#MP-DDDCDP2oDS,DDDCDP2oDS,"Finds a Data Desination for which there is an untried Data Channel to a next Process, which uses a Data Path that extends another Data Path to another Process, and where no previously found process is a data source.",domain#R-DDDCDP2,FALSE,FALSE
package#DataLifecycle,domain#MP-DDDCDS2P,DDDCDS2P,"Finds a Data Source fulfilling a Data Destination, where neither is a reverse relay, with an active reverse data channel to the destination and a data channel from the source, plus the associated processes and data paths.",domain#R-DDDCDS2P,FALSE,FALSE
package#DataLifecycle,domain#MP-DDDPS,DDDPS,Finds a Data Path from a Process that is a Data Destination to a Service.,domain#R-DDDPS,FALSE,FALSE
package#DataLifecycle,domain#MP-DD-fDCSDS,DD-fDCSDS,"Finds a data destination, a data access from which that is a possible destination, that has a data channel to a relay process from which there is another channel back along the same data path to a source that does not yet have the same possible data destionation.",domain#R-DDDCSDS,FALSE,FALSE
