package,URI,label,isVisible,comment,unitCost,performanceImpact
package#LocalDeviceConnectivity,domain#DisableMeshRouting,DisableMeshRouting,TRUE,"Prevents a gateway supporting mesh routing (i.e. ad hoc peer-to-peer networking) over Bluetooth connections. This is the default situation for most devices, but because it may be used, the model must include the connection and so requires a control to indicate its status.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#LocalDeviceConnectivity,domain#DisableTethering,DisableTethering,TRUE,"Signifies that routing between a device and an IP network via a USB/Bluetooth connection is disabled. The reference to tethering is because these routes are normally switched off by default in most devices, but are activated when mobile devices use tethering to share access to cellular (or sometimes other) network uplinks. Because such routes can be used the domain model must include them and use a control to signify their status.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#LocalDeviceConnectivity,domain#SimpleSecurePairing,SimpleSecurePairing,TRUE,"Applies to a device with Bluetooth connectivity, and indicates that the device is capable of displaying or confirming a numerical code or key in one of the simple secure pairing association mechanisms.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#AAA,AAA,TRUE,The subnet uses an AAA service not included in the model for network authentication and access control based on SIMs. Used for high level abstrations representing public cellular networks.,domain#CostHigh,domain#PerformanceImpactLow
package#Network,domain#AccessControl,AccessControl,TRUE,The asset (device or service) has an enforcement point (PEP) preventing unauthorised access. Normally used in conjunction with an authentication mechanism.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#AntiMalware,AntiMalware,TRUE,The device has software installed that protects against malware.,domain#CostLow,domain#PerformanceImpactLow
package#Network,domain#AuthenticationLimits,AuthenticationLimits,TRUE,"Represents measures to restrict the number or rate of authentication attempts, and to lock out users on a permanent or temporary basis when these limits are reached.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#BasicSecurityTraining,BasicSecurityTraining,TRUE,The user has undergone basic training in password security and device protection before acting in the specified role.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#BiometricIDVerifier,BiometricIDVerifier,TRUE,The host has a means to authenticate authorised users using biometrics.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#ChipAndPINVerifier,ChipAndPINVerifier,TRUE,The host has a means to authenticate authorised users using a chip and pin card.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#Clustering,Clustering,TRUE,"The host represents a class of identical hosts that form a scalable cluster. The control indicates that multiple hosts can be used at the same time to run a process or store a data asset, either to scale up performance or provide extra resilience.",domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#ContinuousAuthN,ContinuousAuthN,TRUE,"The process captures usage characteristics, allowing the user identity to be verified by a suitable authentication service against a previously registered profile.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#ContinuousAuthNID,ContinuousAuthNID,TRUE,The user has continuous authentication identification characteristics registered with a continuous authentication verification service in the system.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#ContinuousAuthVerifier,ContinuousAuthVerifier,TRUE,The service has a means to verify the identity of a device user based on continuous authentication data sent by the device.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#DeviceCertification,DeviceCertification,TRUE,The device has been independently tested and certified as secure to a suitable evaluation assurance level.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#DisabledHost,DisabledHost,TRUE,"The host device has been disabled. This is not a contingency plan but a state reached after activation of a contingency plan. It should be selected in current risk calculations to determine the effect of disabling the host, or when runtime monitoring detects the host is not running.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#DisabledProcess,DisabledProcess,TRUE,"The process has been disabled. This is not a contingency plan but a state reached after activation of a contingency plan. It should be selected in current risk calculations to determine the effect of disabling the process, or when runtime monitoring detects the process is not running.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#DisableNetwork,DisableNetwork,TRUE,"Disable a network (logical subnet). Most commonly used to prevent provision of an abstract subnet (e.g. a hotspot) by a mobile device when the device is in a specific location (with the control applied to the logical subnet representing implementation in that location). Note that control strategies involve controls at the providing host, so this is only possible where there is such a host.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#DisableNetworkProvision,DisableNetworkProvision,TRUE,"Applied to a host providing a logical subnet, this control signifies that provision of networking by the host can be disabled.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#EncryptedComms,EncryptedComms,TRUE,"The subnet uses encryption below OSI Layer 3, established via the CCMP protocol from IEEE.802.11i or equivalent.",domain#CostVeryLow,domain#PerformanceImpactLow
package#Network,domain#FormalVerification,FormalVerification,TRUE,The process or host software has been formally verified and found to be correct.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Network,domain#HomomorphicEncryption,HomomorphicEncryption,TRUE,The algorithms used by the process are capable of performing calculations on encrypted data.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#HostEncryption,HostEncryption,TRUE,"Data storage devices on the host that are used to store application data are encrypted. This does not protect data when the host is running as decrypion keys ust be available to running processes. However, it does prevent access to data by removing storage devices from a host, e.g. after it has been stolen.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#HostMonitoring,HostMonitoring,TRUE,The host is monitored to detect any software problems (errors or crashes).,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#IgnoreInteractiveProcess,IgnoreInteractiveProcess,TRUE,"The user of an interactive process does not provide input or view output. They interact with the process only for purposes such as authentication,",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#IndependentInstances,IndependentInstances,TRUE,The host is actually a set of instances whose provisioning is independent of their management.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#KeyManagement,KeyManagement,TRUE,The process has a way to access a shared key required to access encrypted data.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Network,domain#LoadMonitoring,LoadMonitoring,TRUE,The host or process is monitored to detect any overload situations.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#Logging,Logging,TRUE,The host creates a log of its activities.,domain#CostVeryLow,domain#PerformanceImpactLow
package#Network,domain#LowPriority,LowPriority,TRUE,"The priority of the process has been lowered to prevent it overloading its host. This may mean the process will become unavailable, however.",domain#CostVeryLow,domain#PerformanceImpactLow
package#Network,domain#MultipleWiFiNIC,MultipleWiFiNIC,TRUE,Means the host can connect to multiple WiFi LANs at the same time.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#MultipleWiredNIC,MultipleWiredNIC,TRUE,Means the host can connect to multiple wired LANs at the same time.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#OneTimeKey,OneTimeKey,TRUE,The human has a device for generating a one-time key by entering a PIN.,domain#CostMedium,domain#PerformanceImpactLow
package#Network,domain#OneTimeKeyVerifier,OneTimeKeyVerifier,TRUE,The process has a means to verify a one-time key generated by an authorised user.,domain#CostLow,domain#PerformanceImpactLow
package#Network,domain#OutOfBandKey,OutOfBandKey,TRUE,The human has a way to obtain a one-time key sent to it by a separate (out of band) communication channel.,domain#CostLow,domain#PerformanceImpactLow
package#Network,domain#OutOfBandKeyVerifier,OutOfBandKeyVerifier,TRUE,The process has a way to verify a one-time key sent to an authorised device or user via a separate (out of band) communication channel.,domain#CostLow,domain#PerformanceImpactLow
package#Network,domain#Password,Password,TRUE,"The human has registered a password for identification purposes, which may be stored in a process acting on their behalf.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#PasswordQualityCheck,PasswordQualityCheck,TRUE,"The host or process has a way to check the quality of a password when set or changed by a user. For example, it may use checks as specified in NIST-800-63.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#PasswordReset,PasswordReset,TRUE,A service has a mechanism for self-service resetting of a user password.,domain#CostVeryLow,domain#PerformanceImpactLow
package#Network,domain#PasswordStore,PasswordStore,TRUE,"The process has an encrypted password store, enabling its user to more easily recall and use strong passwords.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#PasswordVerifier,PasswordVerifier,TRUE,The host or process has a means to verify a password given by an authorised user.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#PenetrationTesting,PenetrationTesting,TRUE,The software for a host or process has been tested to check it is not vulnerable to certain attacks.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Network,domain#PersonalDevice,PersonalDevice,TRUE,"The host is a personal device, carried by and therefore monitored and protected by its only user.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#PhysicalChecks,PhysicalChecks,TRUE,The device is checked physically at suitable intervals to detect physical alteration or removal.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Network,domain#PhysicalDeviceProtection,PhysicalDeviceProtection,TRUE,The device is physically protected by being built into its physical environment.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#PhysicallyObservable,PhysicallyObservable,TRUE,"Signifies that the Physical Host can be under continuous visual observation within the Space where it is located. Physically large hosts will normally be observable, but for smaller hosts this depends on where in the space they are located.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#ProcessMonitoring,ProcessMonitoring,TRUE,The process is monitored to detect any software problems (errors or crashes).,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#RemoteWiping,RemoteWiping,TRUE,"The mobile device has a means to delete stored data which can be triggered remotely by its authorised user, e.g. if the device is lost or stolen.",domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#RestrictedShell,RestrictedShell,TRUE,"Signifies that a process has restricted access to the shell on its host. A user with full control over such a process cannot exploit its rights in arbitrary ways. When applied to a desktop or login service (which are intended to provide access to the shell), it means the shell itself is restricted, and can only be used to run specific applications. In this case, the remote access service controls other processes the user can access.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#ScreenLock,ScreenLock,TRUE,"A screen lock is automatically started after a suitably short interval of inactivity to prevent access to an interactive device, requiring password authentication to resume the session.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SecureBIOS,SecureBIOS,TRUE,"The device has a secure BIOS and boot up sequence, ensuring its security cannot be bypassed by rebooting using an external (e.g. USB) boot device.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SecureConfig,SecureConfig,TRUE,Removal of security vulnerabilities arising from insecure default configurations prior to entry of the affected device into the system.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SecureEnclave,SecureEnclave,TRUE,"The device provides a secure enclave, an area of memory that is accessible only by a specific process, and protected by hardware that allows cryptographic bootstrapping of trust in its contents.",domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#SecureExecution,SecureExecution,TRUE,The process is executed in a secure enclave provided by its host.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#SecurityTraining,SecurityTraining,TRUE,"The human has undergone security training, going beyond basic password and device security and covering aspects such as malicious email threats, and physical security of mobile and fixed host devices.",domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#SharedKey,SharedKey,TRUE,The host has a shared key which can be used to prove its identity to others holding the same key.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SharedKeyVerifier,SharedKeyVerifier,TRUE,The host or process has a means to verify possession of the shared key by another asset.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SoftwareCertification,SoftwareCertification,TRUE,The process software has been independently tested and certified as secure to a suitable evaluation assurance level.,domain#CostMedium,domain#PerformanceImpactVeryLow
package#Network,domain#SoftwarePatched,SoftwarePatched,TRUE,Represents the application of security patches to eliminate software vulnerabilities in a device or process. Should be used only for run-time decision support calculations.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SoftwarePatching,SoftwarePatching,TRUE,Employ a well defined process for applying updates to the software running on the associated host.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#SoftwareTesting,SoftwareTesting,TRUE,The process software has been tested to verify that it functions correctly.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Network,domain#SpamFiltering,SpamFiltering,TRUE,"The email user agent process has a means to scan emails, mark potentially malicious or unwanted emails as spam, and prevent them being seen by a user via the usual channel.",domain#CostVeryLow,domain#PerformanceImpactLow
package#Network,domain#SuspendInfectedHost,SuspendInfectedHost,TRUE,"The host may be temporarily taken out of service to prevent it being involved in an attack by automated malware to cause a security breach. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SuspendInfectedProcess,SuspendInfectedProcess,TRUE,"The process may be temporarily taken out of service to prevent it being involved in an attack by automated malware to cause a security breach. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SuspendVulnerableHost,SuspendVulnerableHost,TRUE,"The host may be temporarily taken out of service to prevent it being involved in an attack that exploits a vulnerability to cause a security breach. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SuspendVulnerableService,SuspendVulnerableService,TRUE,"The service may be temporarily taken out of service to prevent it being involved in an attack that exploits a vulnerability to cause a security breach. This represents a contingency plan which will compromise availability, to an extent based on the likelihood of the attack.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#SystemSecurityTraining,SystemSecurityTraining,TRUE,"The user has undergone training in operational security relevant to the system, e.g. when and how to impose restrictions on network connectivity or service access, and procedures to safeguard the system in response to threat intelligence, such as emergency application of (possibly untested) software patches. This control can only be applied to an Adult user.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#TLS,TLS,TRUE,The process implements transport layer encryption for its communications.,domain#CostVeryLow,domain#PerformanceImpactLow
package#Network,domain#Unmanaged,Unmanaged,TRUE,"This control indicates that the management of a device is considered out of scope. It is used to tell SSM that where no manager is specified, that was deliberate and is not an oversight. Note that this only addresses the modelling error threat used to detect a possible oversight. It does not mean other threats that could be managed by a system manager are also ignored.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#UsesNoEmail,UsesNoEmail,TRUE,"Applies to Humans in a system role, indicating that they should not use email while acting in that role.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#X509,X509,TRUE,"The host or process has an asymmetric key pair, and the association with the public key is attested by a suitably trusted means, often but not necessarily via an X509 certification authority.",domain#CostMedium,domain#PerformanceImpactVeryLow
package#Network,domain#X509ClientVerifier,X509ClientVerifier,TRUE,The host or process has a means to verify that an entity that initiated communication with it is the holder of a private key corresponding to a trusted public key association such as an X509 certificate.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#X509ServiceVerifier,X509ServiceVerifier,TRUE,The host or process has a means to verify that an entity it initiates communication with is the holder of a private key corresponding to a trusted public key association such as an X509 certificate.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Network,domain#XSSSanitisation,XSSSanitisation,TRUE,The process is implemented using a framework that prevents cross-site scripting attacks.,domain#CostLow,domain#PerformanceImpactVeryLow
package#NetworkConnectivity,domain#AddressReservation,AddressReservation,TRUE,"Applies to the interface between a device and a subnet, and means the device has a reserved network address (fixed or in a known, restricted range).",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#NetworkConnectivity,domain#BandwidthManagement,BandwidthManagement,TRUE,A policy is enforced that restricts traffic between source and destination IP addresses. Note that this may be implemented at interfaces other than the one having the destination address.,domain#CostLow,domain#PerformanceImpactLow
package#NetworkConnectivity,domain#DDoSFiltering,DDoSManagement,TRUE,"Measures can be enabled to filter DDoS attacks against the IP address for the interface. Usually this is done in the core network, by an Internet service provider, on behalf of the customer to whom the IP address is assigned.",domain#CostLow,domain#PerformanceImpactLow
package#NetworkConnectivity,domain#DisableInterface,DisableInterface,TRUE,"Means a host does not connect to a network, unless compromised. This is not the same as FWBlock, which represents a policy to drop messages on a live connection. It means the connection is not made in the first place. Typically used where a host connects to a radio network that is implemented in several locations, but should not be used in some of those locations.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#NetworkConnectivity,domain#DisableServiceAccess,DisableServiceAccess,TRUE,Signifies that firewall policy exceptions allowing access to services have been removed. This prevents client-service connections if and only if the default policy is to block other connections.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#NetworkConnectivity,domain#FWBlock,FWBlock,TRUE,Means the default policy is to drop messages directed to a network address (interface) or via a network router (logical segment).,domain#CostVeryLow,domain#PerformanceImpactLow
package#Physical,domain#BiometricLock,BiometricLock,TRUE,"A physical lock prevents access to a space, which incorporates a means to identity authorised users of the space using biometrics.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Physical,domain#ChipAndPINLock,ChipAndPINLock,TRUE,"A physical lock prevents access to a space, which incorporates a means to identity authorised users of the space using a chip and pin card.",domain#CostLow,domain#PerformanceImpactVeryLow
package#Physical,domain#ContinuousOccupation,ContinuousOccupation,TRUE,"Used at a private space to indicate that the space is secure due to it being continuously occupied at times when undetected physical intrusion is feasible, e.g. a user residence occupied at night when intrusion is most likely, or a business premises that operates 24x7.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Physical,domain#IgnorePhysicalThreats,IgnorePhysicalThreats,TRUE,"Indicates that physical threats from this location can be ignored. This can only be used at the global inferred location (the World) where hosts are assumed to be if no other location is specified or inferred. This control provides a means for SSM users to signal that physical attacks are out of scope for any host with no other location, i.e. that such hosts are assumed to be in an unspecified but secure location.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Physical,domain#IncludePhysicalThreats,IncludePhysicalThreats,TRUE,"Indicates that physical threats from this location should not be ignored. This can only be used at the global inferred location (the World) where hosts are assumed to be if no other location is specified or inferred. This control provides a means for SSM users to signal that physical attacks are to be considered on any host with no other location, i.e. that such hosts are assumed to be in an unspecified (inferred) and insecure location.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Physical,domain#PhysicalIDVerifier,PhysicalIDVerifier,TRUE,Authorised users are allowed entry to the space only after checking their physical ID documents.  This may be done by a human guard.,domain#CostMedium,domain#PerformanceImpactLow
package#Physical,domain#PhysicalKey,PhysicalKey,TRUE,The human has been issued with a key giving them access to a locked space or device they are authorised to use.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Physical,domain#PhysicalLock,PhysicalLock,TRUE,"A physical lock prevents access to a space, preventing access by users who do not possess a physical key to the space.",domain#CostLow,domain#PerformanceImpactLow
package#Physical,domain#PhysicalPatrols,PhysicalPatrols,TRUE,The space is checked physically at suitable intervals to detect any physical alteration or removal of system assets.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Physical,domain#SecureLocation,SecureLocation,TRUE,"Indicates that a private space is considered to be secure against intrusion, but without specifying the security measures used, i.e. physical security of a specific private space is out of scope.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Privacy,domain#BreakTheGlass,BreakTheGlass,TRUE,The policy associated with the data allows restrictions to be bypassed under specific circumstances in which this is necessary. Typically used with consent based policies for cases when a data subject is not conscious or not contactable.,domain#CostLow,domain#PerformanceImpactVeryLow
package#Privacy,domain#ConsentEnforcement,ConsentEnforcement,TRUE,A policy enforcement point that enforces a dynamic access policy reflecting all previous consent decisions by related users.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Privacy,domain#ConsentInterface,ConsentInterface,TRUE,"The user interface for the human incorporates appropriate information explaining the purpose of personal data processing and providing other information as required by regulations, and a means to specify or revoke their consent to this.",domain#CostVeryLow,domain#PerformanceImpactLow
package#Privacy,domain#ConsentManagement,ConsentManagement,TRUE,The data has an access policy that is dynamically managed based on consent decisions from a data subject.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Privacy,domain#ImpersonalData,ImpersonalData,TRUE,"Applied to a Data or IoT Thing asset, indicates that the asset is not related to a Human data subject.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#Privacy,domain#VitalInterests,VitalInterests,TRUE,The process carries out a function that is necessary to protect the vital interests of a natural person.,domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#AddressWhitelisting,AddressAllowListing,TRUE,"Applies to a client-service relationship, and means the service accepts client connections only from a set of known network addresses.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
package#ProcessComms,domain#ApplicationFW,ApplicationFW,TRUE,"A filter that scans the content of requests to a service, and refuses to forward any request in which malicious content is detected.",domain#CostHigh,domain#PerformanceImpactLow
package#ProcessComms,domain#DisableClientAccess,DisableClientAccess,TRUE,"Signifies that access to a service in a specific client role is disabled, i.e. the policy allowing access to a service in a specific client role has been switched off. This may represent a permanent restriction introduced by design, or a temporary situation created by a run-time response to an increased risk level. Either way, it causes a loss of availability as a side effect.",domain#CostVeryLow,domain#PerformanceImpactVeryLow
