package,URI,label,comment,usesLoopback,usesParallel
package#Application,domain#R-HHuWE,HHuWE,Finds a Human using both an email client and a web browser on the same host.,FALSE,FALSE
package#Application,domain#R-HHuWSMS,HHuWSMS,Finds a Human using both an SMS client and a web browser on the same host.,FALSE,FALSE
package#Application,domain#R-HIP,HIP,Finds a solo interactive process and its host.,FALSE,FALSE
package#Application,domain#R-HPrD,HPrD,Finds a Process relaying Data and the process host.,FALSE,FALSE
package#Application,domain#R-HPsD,HPsD,Finds a Process serving Data and the process host.,FALSE,FALSE
package#Application,domain#R-HuaD,HuaD,Finds a Human interactively amending Data.,FALSE,TRUE
package#Application,domain#R-HuaDPH,HuaDPH,"Finds a Human amending Data by interacting (possibly remotely) with a Process that processes the Data, and the process Host.",FALSE,TRUE
package#Application,domain#R-HuaDRAC,HuaDRAC,Finds a Human interacting with Data remotely via a Remote Access Client.,FALSE,FALSE
package#Application,domain#R-HuaID,HuaID,"Finds a Human interactively entering Data, where this is expressed as a single relationship and labelled as having been asserted.",FALSE,TRUE
package#Application,domain#R-HuaUD,HuaUD,"Finds a Human interactively amending Data, where this is expressed as a single relationship and labelled as having been asserted.",FALSE,TRUE
package#Application,domain#R-HuaVD,HuaVD,"Finds a Human interactively viewing Data, where this is expressed as a single relationship and labelled as having been asserted.",FALSE,TRUE
package#Application,domain#R-HuHWES,HuHWES,Finds a Human using a web browser running on a host to access email.,FALSE,FALSE
package#Application,domain#R-HuiCHDtS,HuiCHDtS,Finds a human interacting with a console host and a desktop service running on a possibly remote host.,FALSE,FALSE
package#Application,domain#R-HuiD,HuiD,Finds a Human entering Data.,FALSE,FALSE
package#Application,domain#R-HuiDPH,HuiDPH,"Finds a Human entering Data by interacting (possibly remotely) with a Process that processes the Data, and the process Host.",FALSE,TRUE
package#Application,domain#R-HuiPiDCHS,HuiPiDCHS,Finds a user interacting directly with a process to enter data using a console host located in a space.,FALSE,FALSE
package#Application,domain#R-HuiRACHSPiD,HuiRACHSPiD,Finds a user entering data via remote interaction with a process using a remote access client on a console host located in a space.,FALSE,FALSE
package#Application,domain#R-HuirEcD,HuirEcD,Find a Human interacting (possibly remotely) with an Editor that creates Data.,FALSE,FALSE
package#Application,domain#R-HuirErD,HuirErD,Finds Human interacting (possibly remotely) with an Editor process that receives data.,FALSE,FALSE
package#Application,domain#R-HuirIPaD,HuirIPaD,Finds Human interacting (possibly remotely) with an Interactive Process that amends data.,FALSE,TRUE
package#Application,domain#R-HuirIPpD,HuirIPpD,Finds Human interacting (possibly remotely) with an Interactive Process that processes data.,FALSE,FALSE
package#Application,domain#R-HuirPaD+eUI,HuirPaD+eUI,"Finds Human interacting (possibly remotely) with a process that amends (creates and receives) data, and enables user input of the data.",FALSE,TRUE
package#Application,domain#R-HuirPcD,HuirPcD,Finds Human interacting (possibly remotely) with a process that creates data.,FALSE,FALSE
package#Application,domain#R-HuirPeID,HuirPeID,Finds a human interacting (possibly remotely) with a process that enables user entry of some Data.,FALSE,FALSE
package#Application,domain#R-HuirPeOD,HuirPeOD,Finds a human interacting (possibly remotely) with a process that enables user access to some Data.,FALSE,FALSE
package#Application,domain#R-HuirPeUD,HuirPeUD,Finds a human interacting (possibly remotely) with a process that enables user update of some Data.,FALSE,TRUE
package#Application,domain#R-HuirPrD,HuirPrD,Finds Human interacting (possibly remotely) with a process that receives data.,FALSE,FALSE
package#Application,domain#R-HuirPsD,HuirPsD,Finds Human interacting (possibly remotely) with a process that serves data. This conflicts with domain model assumptions.,FALSE,FALSE
package#Application,domain#R-HuuD,HuuD,"Finds a Human interactively amending Data, where this is expressed as a single relationship.",FALSE,FALSE
package#Application,domain#R-HuvD,HuvD,Finds a Human viewing Data.,FALSE,FALSE
package#Application,domain#R-HuWES,HuWES,Finds a Human using a web browser to access email.,FALSE,FALSE
package#Application,domain#R-PaD,PaD,"Finds a Process that is amending data, using separate creates and receives links in case they were added separately.",FALSE,TRUE
package#Application,domain#R-PaDH,PaDH,Finds a Host running a Process that is amending data.,FALSE,TRUE
package#Application,domain#R-PcDH,PcDH,Finds a Host running a Process that is creating data.,FALSE,FALSE
package#Application,domain#R-PpD+noDU,PpD+noDU,"Finds a Process that is processing Data, where the Process has a self-referential noDU link indicating it should not be processing data.",FALSE,FALSE
package#Application,domain#R-PrDH,PrDH,Finds a Host running a Process that is receiving data stored on the same host.,FALSE,FALSE
package#Application,domain#R-RDuHP,RDuHP,Finds a Host running a Process used remotely by a Remote Desktop client.,FALSE,FALSE
package#Application,domain#R-RDuRDuS,RDuRDuS,Finds a remote desktop using remotely another remote desktop which is using remotely a third process.,FALSE,FALSE
package#Application,domain#R-RDuRTuS,RDuRTuS,Finds a remote desktop using remotely a remote terminal which is using remotely a third process.,FALSE,FALSE
package#CloudManagement,domain#R-Ct,Ct,Finds a solo Container.,FALSE,FALSE
package#CloudManagement,domain#R-CtDS,CtDS,Finds a Container that stores a copy of Data (which is actually not allowed).,FALSE,FALSE
package#CloudManagement,domain#R-CtH,CtH,Finds a container provisioned by a Host.,FALSE,FALSE
package#CloudManagement,domain#R-CtHaH,CtHaH,Finds a Container provisioned by a Host that is above another Host.,FALSE,FALSE
package#CloudManagement,domain#R-CtHhPH,CtHhPH,Finds a Container provisioned by a Host that has a PhysicalHost.,FALSE,FALSE
package#CloudManagement,domain#R-DCCM,DCCM,Finds a Data Centre with a Cluster on which is provisioned a Pod management Master node.,FALSE,FALSE
package#CloudManagement,domain#R-DCCMCAP,DCCMCAP,Finds a process controlling a data centre hosting a K8s master node running a K8s API server and Ingress proxy.,FALSE,FALSE
package#CloudManagement,domain#R-DCCt,DCCt,Finds a Container managed directly by a Data Centre.,FALSE,FALSE
package#CloudManagement,domain#R-DCMW,DCMW,Finds a K8s Master and Worker on the same (cluster) Host in a Data Centre.,FALSE,FALSE
package#CloudManagement,domain#R-DCPHM,DCPHM,Finds a Cloud (e.g. K8s) Master node whose physical host is in a Data Centre.,FALSE,FALSE
package#CloudManagement,domain#R-DCPHW,DCPHW,Finds a Cloud (K8s) Worker whose physical host is in a Data Centre.,FALSE,FALSE
package#CloudManagement,domain#R-HCt,HCt,Finds a host provisioned by a container.,FALSE,FALSE
package#CloudManagement,domain#R-HumPC,HumPC,Finds a Container running a Process managed by a Human.,FALSE,FALSE
package#CloudManagement,domain#R-KIP,KIP,Finds an Ingress proxy mediating access to a service.,FALSE,FALSE
package#CloudManagement,domain#R-KPxCaaSI,KPxCaaSI,"Finds a Client using for authentication a Service that runs in a Container, whose Pod is connected via a Subnet to a K8 Master that runs a K8s Ingress proxy.",FALSE,FALSE
package#CloudManagement,domain#R-KPxCazSI,KPxCazSI,"Finds a Client using for authorization a Service that runs in a Container, whose Pod is connected via a Subnet to a K8 Master that runs a K8s Ingress proxy.",FALSE,FALSE
package#CloudManagement,domain#R-KPxCLnSA,KPxCLnSA,"Finds a Client using a Remote Acces Service that runs in and controls a Container, whose Pod is connected via a Subnet to a K8S Master that runs a K8s API Server.",FALSE,TRUE
package#CloudManagement,domain#R-KPxCuScP,KPxCuScP,"Finds a Pod managed by K8S or equivalent, hosting an unprivileged service in a Container, which controls another service accessed by a client. This means the client will need to access to Service in its Container for authentication purposes.",FALSE,FALSE
package#CloudManagement,domain#R-KPxCuuSI,KPxCuuSI,"Finds a Client using a Service that runs in a Container, whose Pod is connected via a Subnet to a K8 Master that runs a K8s Ingress proxy.",FALSE,FALSE
package#CloudManagement,domain#R-KPxMLnSA,KPxMLnSA,"Finds a Client using a Remote Access Service that runs on and controls a K8s Master node, connected to a Subnet and running a K8s API Server.",FALSE,TRUE
package#CloudManagement,domain#R-KPxWLnSA,KPxWLnSA,"Finds a Client using a Remote Access Service that runs on and controls a K8s Worker node, connected via a Subnet to a Master that runs a K8s API Server.",FALSE,TRUE
package#CloudManagement,domain#R-MWHLS,MWHLS,"Finds K8s Master and Worker nodes on the same (cluster) host, and connected to the same subnet.",FALSE,FALSE
package#CloudManagement,domain#R-MWPodLS2,MWPodLS2,"Finds a Pod running on a K8s Worker connected via a Logical Subnet to a K8s Master, which can also access an overlay on the Logical Subnet.",FALSE,FALSE
package#CloudManagement,domain#R-Pod,Pod,Finds a solo Pod.,FALSE,FALSE
package#CloudManagement,domain#R-PodCnD,PodCnD,Finds Data stored on a Container provisioned by a Pod.,FALSE,FALSE
package#CloudManagement,domain#R-PodCnP,PodCnP,Finds a Process hosted by a Container provisioned by a Pod.,FALSE,FALSE
package#CloudManagement,domain#R-PodCnPD,PodCnPD,Finds a Container running a Process that handles Data stored on the associated Pod.,FALSE,FALSE
package#CloudManagement,domain#R-PodDCC,PodDCC,Finds a Pod managed by a Data Centre that has a Cluster.,FALSE,FALSE
package#CloudManagement,domain#R-PodDCMC,PodDCMC,Finds a K8s Pod managed by a Data Centre that has a Cluster with a K8s Master.,FALSE,FALSE
package#CloudManagement,domain#R-PodHaH,PodHaH,Finds a Pod provisioned by a Host that is above another Host.,FALSE,FALSE
package#CloudManagement,domain#R-PodHhPH,PodHhPH,Finds a Pod provisioned by a Host that has a PhysicalHost.,FALSE,FALSE
package#CloudManagement,domain#R-PodP,PodP,Finds a Pod containing a Process.,FALSE,FALSE
package#DataLifecycle,domain#R-CSDFDA2,CSDFDA2,Finds two process participating in a data flow.,FALSE,FALSE
package#DataLifecycle,domain#R-DADBsDA,DADBsDA,Finds a DB processing data queries using a data asset.,FALSE,FALSE
package#DataLifecycle,domain#R-DADS,DADS,Finds a Data Access fulfilling a Data Copy.,FALSE,FALSE
package#DataLifecycle,domain#R-DADU,DADU,"Finds a service controlling access to a data access, which fulfils a data use.",FALSE,FALSE
package#DataLifecycle,domain#R-DAPpDA,DAPpDA,Finds a Process processing data using a data asset.,FALSE,FALSE
package#DataLifecycle,domain#R-DAVPDA,DAVPDA,Finds a Process consuming a data asset controlled by a vault.,FALSE,FALSE
package#DataLifecycle,domain#R-DBsDADA,DBsDADA,Finds a DB processing queries to create a data asset.,FALSE,FALSE
package#DataLifecycle,domain#R-DBsDRDF,DBsDRDF,Finds a DB serving data that is stored on a separate Host and supplied to the DB in a data flow.,FALSE,FALSE
package#DataLifecycle,domain#R-DCDFcV,DCDFcV,Finds a Data Flow controlled by a key Vault for which there is a Data Cache.,FALSE,TRUE
package#DataLifecycle,domain#R-DSDA,DSDA,Finds a Data Access fulfilled by a Data Copy.,FALSE,FALSE
package#DataLifecycle,domain#R-DSPDFDB,DSPDFDB,Finds a DB serving data obtained via a data flow from a remote data store.,FALSE,FALSE
package#DataLifecycle,domain#R-DSPDFVDB,DSPDFVDB,"Finds a DB serving data obtained via a data flow from a remote data store, where the stored data is encrypted with keys from a vault.",FALSE,FALSE
package#DataLifecycle,domain#R-DUDA,DUDA,"Finds a service controlling access to a data access, which is fulfilled by a data use.",FALSE,FALSE
package#DataLifecycle,domain#R-HDBDRDF,HDBDRDF,Finds a Host running a DB process acting as a Data Relay for a Data Flow to a destination process.,FALSE,FALSE
package#DataLifecycle,domain#R-HDBDSDF,HDBDSDF,Finds a Host running a DB process acting as a Stored Data Pool for a Data Flow to a destination process.,FALSE,FALSE
package#DataLifecycle,domain#R-HDBsD,HDBsD,"Finds a Host running a Database process that serves a stored DataCopy, and the associated DataPool.",FALSE,FALSE
package#DataLifecycle,domain#R-HDBsDV,HDBsDV,"Finds a Host running a Database process that serves a stored DataCopy encrypted with keys from a vault, and the associated DataPool.",FALSE,FALSE
package#DataLifecycle,domain#R-HDCDF,HDCDF,Finds a Data Flow for which there is a Data Cache on the Host of a sending or receiving process.,FALSE,TRUE
package#DataLifecycle,domain#R-HDS,HDS,"Finds a stored copy of Data on a Host, and its Physical Host.",FALSE,FALSE
package#DataLifecycle,domain#R-HDSV,HDSV,"Finds a copy of Data encrypted with a key from a vault, stored on a Host, and its Physical Host.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDAcDS,HPDAcDS,Finds a Host running a Process that CRUD creates locally stored Data.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDAdDS,HPDAdDS,Finds a Host running a Process that CRUD deletes locally stored Data.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDADF,HPDADF,"Finds a Host running a Process that sends a Data Flow to a destination process, plus the associated Data and Data Access assets.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDADS,HPDADS,Finds a Host storing a Data Copy fulfilled by a local process.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDADS2DO,HPDADS2DO,"Finds a Host running a Process that writes to a local stored Data Copy, and sources data from two data producers.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDADSDU,HPDADSDU,Finds a Host storing a Data Copy fulfilled by a Data Access that sources data from a Data Update (from a process on any Host).,FALSE,FALSE
package#DataLifecycle,domain#R-HPDAuDS,HPDAuDS,Finds a Host running a Process that CRUD updates locally stored Data.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDDR,HPDDR,Finds a Host running a Process relaying Data.,FALSE,FALSE
package#DataLifecycle,domain#R-HPdDS,HPdDS,"Finds a host running a Process with write/delete access (crudd) to a locally stored data copy, plus the data access asset representing the data deserialization.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDFDADS,HPDFDADS,"Finds a Host running a Process that receives an incoming Data Flow and writes the data to local storage. The Process is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDFDAuDS,HPDFDAuDS,Finds a Host running a Process that CRUD updates locally stored Data by saving an incoming Data Flow.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDFDI,HPDFDI,"Finds a Host running a Process that receives an incoming Data Flow and uses it as input. The Process is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDOcDS,HPDOcDS,Finds a Host running a Process that CRUD creates locally stored Data which it produces as output.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDOdDS,HPDOdDS,Finds a Host running a Process that CRUD deletes locally stored Data which it produces as output.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDODF,HPDODF,"Finds a Host running a Process that creates a Data Flow to a destination process, plus the associated Data and Data Output assets.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDODS,HPDODS,Finds a Host running a Process that creates locally stored Data which it produces as output.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDOuDS,HPDOuDS,Finds a Host running a Process that CRUD updates locally stored Data which it produces as output.,FALSE,FALSE
package#DataLifecycle,domain#R-HPdpDS,HPdpDS,"Finds a host running a Process with write/delete access (crudd) to a locally stored data copy, which it also processes, plus the data access asset representing the data deserialization.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDS,HPDS,Finds a Host running a process that stores a local copy of some data.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDSDA,HPDSDA,Finds a Host storing a Data Copy that fulfils a Data Access for a Process on the same Host.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDSDADF,HPDSDADF,Finds a Host storing a Data Copy that is read and sent in a data flow by a Process on the same Host.,FALSE,FALSE
package#DataLifecycle,domain#R-HPDSDI,HPDSDI,"Finds a stored data input to a process, plus the process and data host.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDS-fDI,HPDS-fDI,"Finds a Host with a stored Data Copy, running a Process that has a Data Input asset for the same Data that may or may not be fulfilled by the stored Data Copy.",FALSE,FALSE
package#DataLifecycle,domain#R-HPDSrDI,HPDSrDI,Finds a Host running a Process that CRUD reads a locally stored copy of Data it uses as input.,FALSE,FALSE
package#DataLifecycle,domain#R-HPeD,HPeD,Finds a Host for a Process that appends to locally stored Data.,FALSE,FALSE
package#DataLifecycle,domain#R-HPrDS,HPrDS,"Finds a host running a Process with read access (crudr) to a locally stored data copy, plus the data access asset representing the data deserialization.",FALSE,FALSE
package#DataLifecycle,domain#R-HPrpDS,HPrpDS,"Finds a host running a Process with read access (crudr) to a locally stored data copy, which it also processes, plus the data access asset representing the data deserialization.",FALSE,FALSE
package#DataLifecycle,domain#R-HPsDPDFDS,HPsDPDFDS,"Finds a Host that stores a copy of Data served by and sent to a Process on the same Host, plus the associated Data Flow and Data Pool.",FALSE,FALSE
package#DataLifecycle,domain#R-HPsDPDSDF,HPsDPDSDF,"Finds a Host that stores a copy of Data served by and sent from a Process on the same Host, plus the associated Data Flow and Data Access.",FALSE,FALSE
package#DataLifecycle,domain#R-HPuDSDI,HPuDSDI,"Finds a stored data input needed by a process, plus the process and data host.",FALSE,FALSE
package#DataLifecycle,domain#R-HuaDSPH,HuaDSPH,"Finds a Human amending Data by interacting (possibly remotely) with a Process that processes the Data, of which there is a copy on the same Host.",FALSE,TRUE
package#DataLifecycle,domain#R-HuiDSPH,HuiDSPH,"Finds a Human entering Data by interacting (possibly remotely) with a Process that processes the Data, of which there is a copy on the same Host.",FALSE,TRUE
package#DataLifecycle,domain#R-HuiPvDCHS,HuiPvDCHS,Finds a user interacting directly with a process to view data using a console host located in a space.,FALSE,FALSE
package#DataLifecycle,domain#R-HuiPvDFCHS,HuiPvDFCHS,"Finds a user interacting directly with a process to view data using a console host located in a space, where the data comes from an inbound data flow.",FALSE,FALSE
package#DataLifecycle,domain#R-HuiRACvDFCHS,HuiRACvDFCHS,Finds a user interacting directly with a process to view data using a remote access client on a console host located in a space.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPD,HuirPD,Finds a Human interacting (possibly remotely) with a Process that is using Data.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPiD,HuirPiD,Finds Human interacting (possibly remotely) with and entering Data via a Process.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPiDF,HuirPiDF,Finds a (possibly remote) user of an interactive process that inputs data sent from the process in a data flow.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPiDS,HuirPiDS,Finds a (possibly remote) user of an interactive process that inputs data stored from the process in a local data copy.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPvD,HuirPvD,Finds a (possibly remote) user of an interactive process that views data created by the process.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPvDF,HuirPvDF,Finds a (possibly remote) user of an interactive process that views data received by the process in a data flow.,FALSE,FALSE
package#DataLifecycle,domain#R-HuirPvDS,HuirPvDS,Finds a (possibly remote) user of an interactive process that views data loaded by the process from a local data copy.,FALSE,FALSE
package#DataLifecycle,domain#R-HuWEDF,HuWEDF,"Finds a Human using a web browser and an email client on the same host, accessing URLs from emails via the browser.",FALSE,FALSE
package#DataLifecycle,domain#R-HuWESDF,HuWESDF,"Finds a Human using a web browser to access email, including URLs contained in emails.",FALSE,FALSE
package#DataLifecycle,domain#R-HuWSMSDF,HuWSMSDF,"Finds a Human using a web browser and an SMS client on the same host, accessing URLs from SMS messages via the browser.",FALSE,FALSE
package#DataLifecycle,domain#R-PaDSH,PaDSH,Finds a Process that is amending data of which there is a copy stored on the same host.,FALSE,TRUE
package#DataLifecycle,domain#R-PcDSH,PcDSH,Finds a Process that is creating data of which there is a copy stored on the same host.,FALSE,FALSE
package#DataLifecycle,domain#R-PcPrDS,PcPrDS,"Finds two processes accessing the same stored copy of data, one of which receives the data (processes it as an input).",FALSE,FALSE
package#DataLifecycle,domain#R-PcPuDS,PcPuDS,"Finds two processes accessing the same stored copy of data, one of which reads the data (processes it as a necessary input).",FALSE,FALSE
package#DataLifecycle,domain#R-PDADAV,PDADAV,Finds a Process creating a data asset controlled by a vault.,FALSE,FALSE
package#DataLifecycle,domain#R-PDADFI,PDADFI,"Finds a Process that sends a Data Flow to a destination process in the direction of a data consumer, plus the associated Data and Data Access assets. The Process is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-PDADFO,PDADFO,"Finds a Process that sends a Data Flow to a destination process in the direction of a data store or source, plus the associated Data and Data Access assets. The source of the flow is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-PDF,PDF,"Finds a Data Flow protected by keys from a vault, plus the data flow source and destination processes. The destination process is matched twice so it can be referred to in either role.",FALSE,FALSE
package#DataLifecycle,domain#R-PDFDI,PDFDI,"Finds a data flow to a process that uses the data as input.  The Process is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-PDFFA,PDFFA,"Finds a Data Flow, its source and destination processes, and a related data access element at the source.",FALSE,FALSE
package#DataLifecycle,domain#R-PDFIDADFI,PDFIDADFI,"Finds a Process that receives a flow of Data from the direction of a data store, and forwards it towards a data consumer. The Process is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-PDFODADFO,PDFODADFO,"Finds a Process that receives a flow of Data from the direction of a data producer, and forwards it towards a data store. The Process is matched twice, so it can be referred to by either role name.",FALSE,FALSE
package#DataLifecycle,domain#R-PDFV,PDFV,"Change from: Finds a Data Flow protected by keys from a vault, plus the data flow source and destination processes. The destination process is matched twice so it can be referred to in either role.",FALSE,FALSE
package#DataLifecycle,domain#R-PDI,PDI,"Finds a Process that uses Data as input, or displays it to an interactive user.",FALSE,FALSE
package#DataLifecycle,domain#R-PDIDDF,PDIDDF,Finds a Process using Data as input that contains a Data Field.,FALSE,FALSE
package#DataLifecycle,domain#R-PDO,PDO,"Finds a Process that creates Data as output, or gets it from an interactive user.",FALSE,FALSE
package#DataLifecycle,domain#R-PDOScDD,PDOScDD,Finds a Data Asset controlled by a vault which is output from a Process.,FALSE,FALSE
package#DataLifecycle,domain#R-PDP,PDP,Finds a Process that implicitly or explicitly serves Data.,FALSE,FALSE
package#DataLifecycle,domain#R-PDR,PDR,Finds a Process acting as a Data Relay.,FALSE,FALSE
package#DataLifecycle,domain#R-PHHDS,PHHDS,"Finds a Physical Host located in a Space, plus data stored on the host or on a virtual host running there.",FALSE,FALSE
package#DataLifecycle,domain#R-PIP,PIP,Finds a Process that uses Data as input with no other source than a locally stored copy (so access to the data is represented by an Input Pool rather than a Data Input).,FALSE,FALSE
package#DataLifecycle,domain#R-PpDADA,PpDADA,Finds a Process processing data to create a data asset.,FALSE,FALSE
package#DataLifecycle,domain#R-PrDSH,PrDSH,Finds a Process that is receiving data of which there is a copy stored on the same host.,FALSE,FALSE
package#DataLifecycle,domain#R-PSDP,PSDP,Finds a Process that serves stored Data.,FALSE,FALSE
package#DataLifecycle,domain#R-PsDSH,PsDSH,Finds a Process serving Data of which there is a copy stored on the same host.,FALSE,FALSE
package#DataLifecycle,domain#R-PuDFDI,PuDFDI,Finds a data flow to a process that needs the data as input.,FALSE,FALSE
package#DataLifecycle,domain#R-RUIDO,RUIDO,Finds a Process that enables remote user input.,FALSE,FALSE
package#DataLifecycle,domain#R-RUODI,RUODI,Finds a Process that enables remote user output.,FALSE,FALSE
package#DataLifecycle,domain#R-ScDDPDADS,ScDDPDADS,Finds a Data Asset controlled by a vault which is outbound from a Process and fulfilled by another inbound Data Asset.,FALSE,FALSE
package#DataLifecycle,domain#R-ScDSPDADD,ScDSPDADD,Finds a Data Asset controlled by a vault which is inbound to a Process and used to fulfil another outbound Data Asset.,FALSE,FALSE
package#DataLifecycle,domain#R-ScDSPDI,ScDSPDI,Finds a Data Asset controlled by a vault which is input to a Process.,FALSE,FALSE
package#DataLifecycle,domain#R-ScDSPDIcD,ScDSPDIcD,Finds a Data Asset controlled by a vault which is input to a Process that creates output.,FALSE,FALSE
package#DataLifecycle,domain#R-SDUDADS,SDUDADS,"Finds a Service enabling access for a Data Use, where the Service writes to a local Data Copy.",FALSE,FALSE
package#DataLifecycle,domain#R-SDUDSDA,SDUDSDA,"Finds a Service enabling access for a Data Use, where the Service reads from a local Data Copy.",FALSE,FALSE
package#DataLifecycle,domain#R-StoPDA,StoPDA,Finds the Operator of a Process that accesses Data.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DADSDCSDD,DADSDCSDD,"Finds an active data channel carrying a forward flow that ends at a data destination that is itself a data source, and the channel beyond that source to another destination on the same data path that can act as a data destination.",FALSE,FALSE
package#DataLifecycleInference,domain#R-DAODADInDF,DAODADInDF,Finds an output data asset fulfilling (via a data access) an input data asset that needs a field contained in the data.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DAOiDADInDF,DAOiDADInDF,Finds an output data asset that includes a field contained in the data fulfilling (via a data access) an input data asset that needs the field.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DAPDADF,DAPDADF,"Finds a Process receiving Data that contains a Data Field, via a Data Asset.",FALSE,FALSE
package#DataLifecycleInference,domain#R-DC1,DC1,Finds a solo Data Channel.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DC2TDRfDP2,DC2TDRfDP2,Finds an active forward (output) data channel leading to a transparent data relay from which another active channel continues along the same data path.,FALSE,TRUE
package#DataLifecycleInference,domain#R-DC2TDRrDP2,DC2TDRrDP2,Finds an active reverse (input) data channel leading to a transparent data relay from which another active channel continues along the same data path.,FALSE,TRUE
package#DataLifecycleInference,domain#R-DC2xfDA2,DC2xfDA2,Finds a forward Data Channel from a Data Source that extends another Data Channel to a Data Destination.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DC2xrDA2,DC2xrDA2,Finds a reverse Data Channel from a Data Destination that extends another Data Channel to a Data Source.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DC3,DC3,Finds a data channel that extends a second channel that extends a third channel.,FALSE,FALSE
package#DataLifecycleInference,domain#R-DC3xf,DC3xf,Finds an active forward data channel that extends a second channel that extends a third channel (meaning there are transparent relay processes between the channels).,FALSE,FALSE
package#DataLifecycleInference,domain#R-DC3xr,DC3xr,Finds an active reverse data channel that extends a second channel that extends a third channel (meaning there are transparent relay processes between the channels).,FALSE,FALSE
