package,URI,label,comment,hasBlockingEffect,currentRisk,futureRisk
package#Application,domain#CSG-SuspendInfectedProcess-Implementation-Runtime,SuspendInfectedProcess.Implementation,"Process _Process_ has been disabled by the manager of its host _HostManager_ to prevent it being exploited after being infected by malware. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _HostManager_ who is responsible for managing the device hosting _Process_. The Disabled Process control should be deselected only when the process has been restarted.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-SuspendInfectedProcess-Trigger,SuspendInfectedProcess,"Process _Process_ may be temporarily disabled by the manager of its host _HostManager_ to prevent it being exploited should it become infected by malware. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it may triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Application,domain#CSG-UserWithoutEmail,UserWithoutEmail,The user _Human_ has no access to email from any device used by them while engaged in the system.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow,AutoSuspendCorruptDataFlow,"The flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ can be automatically disabled to prevent corrupt or malicious content (including malware) from disrupting the receipient _FlowsTo_. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendCorruptDataFlow-Implementation-Runtime,AutoSuspendCorruptDataFlow.Implementation,"The flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ has been automatically disabled to prevent corrupt or malicious content (including malware) from disrupting the receipient _FlowsTo_. This strategy represents activation of a contingency plan at runtime, and can be enabled to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. Activation at runtime requires _FlowsTo_ to be managed by a suitable adaptation framework. The Disabled Data Flow control should be deselected if and when the flow of data is enabled once again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess,AutoSuspendExcessiveClientAccess," Access to service _Service_ by client _Client_ may be automatically disabled to prevent the service forwarding excessive requests or becoming overloaded itself, at the cost of some reduction in availability. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendExcessiveClientAccess-Implementation-Runtime,AutoSuspendExcessiveClientAccess.Implementation,"Access to service _Service_ by client _Client_ has been automatically disabled to prevent the service forwarding excessive requests or becoming overloaded itself. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. Activation at runtime requires _Service_ to be managed by a suitable adaptation framework. The Disable Client Access control should be deselected if and when access by _Client_ to _Service_ has been enabled once again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow,AutoSuspendSensitiveDataFlow,"The sending of data _Data_ from _FlowsFrom_ to _FlowsTo_ can be can be automatically disabled to prevent leaking of data. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendSensitiveDataFlow-Implementation-Runtime,AutoSuspendSensitiveDataFlow.Implementation.Runtime,"The sending of data _Data_ from _FlowsFrom_ to _FlowsTo_ has been automatically disabled to prevent leaking of data. This strategy represents activation of a contingency plan at runtime, and can be enabled to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. Activation at runtime requires _FlowsFrom_ to be managed by a suitable adaptation framework. The Disabled Data Flow control should be deselected if and when the flow of data is enabled once again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess,AutoSuspendUnauthenticClientAccess,"Access to service _Service_ by client _Client_ may be automatically disabled to prevent authenticated attacks by impersonated clients, at the cost of some reduction in availability. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendUnauthenticClientAccess-Implementation-Runtime,AutoSuspendUnauthenticClientAccess.Implementation,"Access to service _Service_ by client _Client_ has been automatically disabled to prevent authenticated attacks by impersonated clients. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. Activation at runtime requires _Service_ to be managed by a suitable adaptation framework. The Disable Client Access control should be deselected if and when access by _Client_ to _Service_ has been enabled once again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess,AutoSuspendUntrustworthyClientAccess,"Access to service _Service_ by client _Client_ may be automatically disabled to prevent authenticated attacks by compromised clients, at the cost of some reduction in availability. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#CloudManagement,domain#CSG-AutoSuspendUntrustworthyClientAccess-Implementation-Runtime,AutoSuspendUntrustworthyClientAccess.Implementation,"Access to service _Service_ by client _Client_ has been automatically disabled to prevent authenticated attacks by compromised clients. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. Activation at runtime requires _Service_ to be managed by a suitable adaptation framework. The Disable Client Access control should be deselected if and when access by _Client_ to _Service_ has been enabled once again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataAccessKey,DataAccessKey,Process _Process_ has a key for encrypting or decrypting data _Data_.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataFlowEncryption,DataFlowEncryption,The data _Data_ flowing between processes _FlowsFrom_ and _FlowsTo_ is encrypted by the two processes (i.e. not relying on transport level encryption).,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataFlowEncryptionFromProcess,DataFlowEncryptionFromProcess,The data _Data_ sent by _Process_ to _FlowsTo_ is encrypted end-to-end (i.e. not relying on transport level encryption).,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataFlowEncryptionToProcess,DataFlowEncryptionToProcess,The data _Data_ sent by _FlowsFrom_ to _Process_ is encrypted end-to-end (i.e. not relying on transport level encryption).,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataFlowIntegrityProtection,DataFlowIntegrityProtection,Makes it possible to check that a copy of _Data_ flowing from _FlowsFrom_ to _FlowsTo_ has not been accidentially or deliberately altered by an intermediary or in transit.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataFlowSharedKeyInbound,DataFlowSharedKeyInbound,"The data _Data_ flowing between processes _FlowsFrom_ and _FlowsTo_ is encrypted end-to-end (i.e. not relying on transport level encryption), and _FlowsTo_ has the key needed to decrypt the data on arrival.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataFlowSharedKeyOutbound,DataFlowSharedKeyOutbound,"The data _Data_ flowing between processes_FlowsTo_  and _FlowsTo_ is encrypted end-to-end (i.e. not relying on transport level encryption), and _FlowsFrom_ has the key needed to encrypt the data for transmission.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataServiceKey,DataServiceKey,Process _Service_ has a key for encrypting or decrypting data _Data_.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataStorageEncryption,DataStorageEncryption,The copy of _Data_ stored on _Host_ is encrypted.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataStorageIntegrityProtection,DataStorageIntegrityProtection,Makes it possible to check if the stored copy of _Data_ on _Host_ has been altered by an unauthorised process.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DataStorageReplication,DataStorageReplication,The stored copy of _Data_ is protected by creating multiple copies across a cluster of instances of _Host_.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DisableDataFlow,DisableDataFlow,"The flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ has been disabled. This control strategy represents a permanent restriction introduced by design, or a temporary situation created following activation of a contingency plan.  In the latter case, this control strategy should not itself be selected, because its controls will be fulfilled by the contingency plan activation strategy.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-DistinctProcessAccessKeys,DistinctProcessAccessKeys,"Processes _Service_ and _Client_ share data _Data_ in encrypted form, but use keys to encrypt or decrypt between transfer and processing, implying a need for the keys used with _Data_ to also be shared.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-EncryptedDataProcessing,EncryptedDataProcessing,"Process _Process_ uses homomorphic encryption technology to perform calculations on data _Data_ in an encrypted domain, allowing it to process the data without first decrypting.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-EncryptedDataProcessingAtService,EncryptedDataProcessingAtService,"Process _Service_ uses homomorphic encryption technology to perform calculations on data _Data_ in an encrypted domain, allowing it to process the data without first decrypting.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-EncryptedQueryProcessing,EncryptedQueryProcessing,"Process _Service_ uses homomorphic encryption technology to process queries on data _Data_ in an encrypted domain, allowing it to serve the data without decrypting it.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-ParquetDataEncryption,ParquetDataEncryption,"Database service _Service_ stores data using Parquet format, enabling it to run queries by selective decryption of the stored data _Data_, whether this is done locally or at a remote data store. This imposes far less overheads, as the amount of data that must be decrypted is small.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-SharedKeyManagement,SharedKeyManagement,Processes _Client_ and _Service_ have secure access to a shared key used to encrypt and decrypt data _Data_ for transfer via file or network.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow,SuspendCorruptDataFlow,"The flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ can be temporarily blocked by the manager _ProcessManager_ of recipient process _FlowsTo_ to prevent corrupt or malicious content (including malware) from disrupting the process. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#DataLifecycle,domain#CSG-SuspendCorruptDataFlow-Implementation-Runtime,SuspendCorruptDataFlow.Implementation,"The flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ has been disabled by the manager _ProcessManager_ of _FlowsTo_ to prevent corrupt or malicious content (including malware) disrupting the process. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _ProcessManager_ who is responsible for managing process _FlowsTo_. The Disabled Data Flow control should be deselected only when the flow of data is enabled again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow,SuspendSensitiveDataFlow,"The flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ can be temporarily blocked by the manager _ProcessManager_ of sending process _FlowsFrom_ to prevent leaking of data. This strategy represents a contingency plan, which can be used to reduce risk from some threats but it also triggers other threats representing possible side effects, depending on how likely it is that the contingency plan will need to be activated.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#DataLifecycle,domain#CSG-SuspendSensitiveDataFlow-Implementation-Runtime,SuspendSensitiveDataFlow.Implementation.Runtime,"The sending of data _Data_ from _FlowsFrom_ to _FlowsTo_ has been disabled by the manager _ProcessManager_ of _FlowsFrom_ to prevent leaking of data. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _ProcessManager_ who is responsible for managing process _FlowsFrom_. The Disabled Data Flow control should be deselected only when the flow of data is enabled again.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art6-1-a,GDPRArt.6.1a.ProcessingByConsent,"Processing and/or storage of _Data_ by consent of the data subject _DataSubject_, by including a means for them to express consent via their interface to the system, maintaining an access control policy for _Data_ based on their consent decisions, and enforcing the policy using an enforcement point in the data access path at _Service_.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art6-1-a-p,GDPRArt.6.1a.ProcessingWithInferredConsent,"Processing of _Data_ by consent of the data subject _DataSubject_, where they have control over the device _SHost_ providing the data, and so can enforce restrictions consistent with their own consent decisions. It is still necessary to have a consent interface, but policy enforcement is up to the data subject.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art6-1-bcef,GDPRArt.6.1bcef.Other,"Processing of _Data_ under GDPR Art 6.1b (performance of a contract), Art 6.1c (to comply with regulation), Art 6.1e (in the public interest) or Art 6.1f (legitimate interests). The Governance control means process _Process_ has analysed by the relevant experts and documented the case for it being considered lawful under one of these provisions. Access to the data must still be logged by its storage device _SHost_.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art6-1-d,GDPRArt.6.1d.VitalInterests,Processing of _Data_ under GDPR Art 6.1d (protection of vital interests). The Vital Interests control means process _Process_ has analysed by the relevant experts and documented the case for it being considered necessary to protect the vital interests of the data subject or another natural person. Access to the data must still be logged by its storage device _SHost_.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art6-1-d-p,GDPRArt.6.1d.VitalInterests,Processing of _Data_ under GDPR Art 6.1d (protection of vital interests). The Vital Interests control means process _Process_ has analysed by the relevant experts and documented the case for it being considered necessary to protect the vital interests of the data subject or another natural person.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art8-2,GDPRArt.8.2.GuardianApproval,"Processing of personal data by consent is legal if the subject _DataSubject_ is old enough (16+ or a lower limit in some states). The user interface for role _DataSubject_ should include measures to ensure this. Competence Check represents a check whether _DataSubject_ is old enough to provide consent, Guardian Consent signifies that reasonable efforts must be made to get authorisation from their legal guardian where this proves not to be the case.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art9-2-c,GDPRArt.9.2c.ConsentIfAble,"Processing of special category data _Data_ to protect vital interests must have the consent of the data subject _DataSubject_ if they are in a position to make a consent decision. One must check their competence to make such a decision, and provide a consent  interface to support this if they can. The data _Data_ must then be protected by a policy managed according to their consent decision(s) and linked to their data, with an enforcement point at _Service_, the process accessing their data. If the subject cannot provide a consent decision, it is legal to proceed, so there should be a way to bypass the enforcement point only in that case via a break the glass protocol. Finally, access to the data must be logged (including use of this override).",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPR-Art9-2-c-p,GDPRArt.9.2c.ConsentIfAble,"Processing of special category data _Data_ to protect vital interests must have the consent of the data subject _DataSubject_ if they are in a position to make a consent decision. One must check their competence to make such a decision, and provide an interface that explains the purpose of processing. Enforcement can be handled by the _DataSubject_ if they control the storage device, consent being inferred if they allow access.  If they are not able to provide a consent decision, it is legal to take their device and access it outside their control.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPRAtJurisdiction,GDPRAtJurisdiction,The jurisdiction _Jurisdiction_ is subject to the GDPR.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPRAtRemoteJurisdiction,GDPRAtRemoteJurisdiction,The jurisdiction _RemoteJurisdiction_ is subject to the GDPR.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPRDataFlowGovernance,GDPRDataFlowGovernance,The flow of data _Data_ between _FlowsFrom_ and _Process_ has been analysed by legal experts and found to be compliant with the GDPR.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPRPrivacyShieldAtOrganisation,GDPRPrivacyShieldAtOrganisation,"Organisation _Operator_ has Privacy Shield status under the GDPR, i.e. they are committed to respect and uphold the GDPR when handling personal data from EU citizens and residents, even though they are based outside the EU.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#GDPR,domain#CSG-GDPRSuspendDataFlow,GDPRSuspendDataFlow,"The flow of data _Data_ from _FlowsFrom_ to _Process_ can be temporarily disabled by the manager _Human1_ of _FlowsFrom_ to prevent a breach of GDPR regulations by its transmission to _Process_. This strategy represents a contingency plan, which can be used to prevent such a breach, but it may also trigger other threats representing possible side effects.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#GDPR,domain#CSG-GDPRSuspendDataFlow-Implementation-Runtime,GDPRSuspendDataFlow.Implementation,"The flow of data _Data_ from _FlowsFrom_ to _Process_ has been disabled by _Human1_ to prevent a breach of the GDPR. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _Human1_ who is responsible for managing the service _FlowsFrom_.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-ImpersonalThing,ImpersonalThing,"Signals that the IoT asset _Thing_ is not related to a human data subject, thus addressing modelling error threats representing the possibility that the relationship to a data subject has been overlooked.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-InferredControlData,InferredControlData,It is acceptable that the control data _Data_ is inferred.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-InferredSensedData,InferredSensedData,It is acceptable that the sensed data _Data_ is inferred.,domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-NonRealtimeSensor,NonRealtimeSensor,"The IoT device _Sensor_ implements a process for measurement of a physical system where it is not necessary to get real-time updates to control input data, due to the nature of the application. This control strategy does not represent a contingency plan but indicates that the application is not sensitive to interruptions in control inputs.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-SafeIoTControlMode,SafeIoTControlMode,"The IoT controller device _Controller_ can be set to operate within safety limits such that it poses no danger to the physical system it regulates, even without real-time control inputs. This strategy represents a contingency plan, which can be used to reduce risk from some threats. However, it may trigger other threats, or produce some loss of efficiency or function in the physical system.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#IoT,domain#CSG-SafeIoTControlMode-Implementation-Runtime,SafeIoTControlMode.Implementation,"The IoT controller device _Controller_ has been set to operate within safety limits in response to an interruption in real-time control inputs, such that it poses no danger to the physical system it regulates. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _HostManager_ who is responsible for managing the device. The Safe IoT Controller control shoud be deselected only when the restrictions on _Controller_ have been lifted.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-SafeIoTController,SafeIoTController,"The IoT controller device _Controller_ is regulating a physical system where it is not necessary to get real-time updates to control input data, due to the nature of the IoT application. This control strategy does not represent a contingency plan to constrain _Controller_ at run-time, but should be used to signal that the IoT application is not sensitive to temporary interruption in the flow of control inputs.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-SuspendUnreliableController,SuspendUnreliableController,"The IoT controller device _Controller_ can be disabled if it becomes unreliable, to prevent it causing problems in the physical environment where it operates. This strategy represents a contingency plan, which can be used to reduce risk from some threats. However, it will trigger threats representing the resulting loss of availability.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#IoT,domain#CSG-SuspendUnreliableController-Implementation-Runtime,SuspendUnreliableController.Implementation,"The IoT controller device _Controller_ has been disabled when it becomes unreliable, to prevent it causing problems in the physical environment where it operates. This strategy represents activation of a contingency plan at runtime, and can be selected to discover what effect this would have on risk levels, allowing this to be used for decision support calculations. To activate it at runtime, signal user _HostManager_ who is responsible for managing the device. The Disabled Host control should be deselected only when the host has been restarted.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#IoT,domain#CSG-SuspendUnreliableController-Trigger,SuspendUnreliableController.Trigger,"This strategy represents a state in which IoT controller device _Controller_ is suspended due to using a contingency plan. It is used as a trigger for threats representing side effects, and should not be used for any other purpose.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#LocalDeviceConnectivity,domain#CSG-DisableMeshRouting,DisableMeshRouting,"Bluetooth mesh routing is disabled in device _Gateway_, preventing it routing between its Bluetooth connections from _FromHost_ to _ToHost_. This strategy does not represent a contingency plan, but a permanent restriction introduced by design or in accordance with an operational policy or user preference. It also triggers threats representing side effects that would be caused by such a restriction. The default configuration for most Bluetooth enabled hosts is to have mesh routing disabled, but the model must assume it is enabled unless the control is selected, or potential threats may be overlooked.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#LocalDeviceConnectivity,domain#CSG-DisableTethering,DisableTethering,"Tethering (or reverse tethering) is disabled between device _Host_ and IP subnet _LogicalSubnet_ via the USB/Bluetooth connection with device _Gateway_, so cannot be used by attackers.  This strategy does not represent a contingency plan, but a permanent restriction introduced by design or in accordance with an operational policy or user preference. It also triggers threats representing side effects that would be caused by such a restriction. The default configuration for most devices is for tethering disabled, but the model must assume it is enabled unless controls are selected to signify otherwise, or potential threats may be overlooked.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#LocalDeviceConnectivity,domain#CSG-SimpleSecurePairing-Full,SimpleSecurePairing.Full,"Simple Secure Pairing (SSP) is used between _RemoteHost_ and _Host_, following the Numeric Comparison or PassKey association model, in which the connection is confirmed by the user by entering a shared key or confirming successful sharing of such a key by the two devices.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#LocalDeviceConnectivity,domain#CSG-SimpleSecurePairing-Local,SimpleSecurePairing.Local,"Simple Secure Pairing (SSP) is used between _RemoteHost_ and _Host_, following the Just Works association model with user confirmation at _Host_. This is effective in preventing spoofing in insecure locations, but depends on there being one secure location where the numerical comparison can be made safely, and then the result stored for subsequent use.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#LocalDeviceConnectivity,domain#CSG-SimpleSecurePairing-Remote,SimpleSecurePairing.Remote,"Simple Secure Pairing (SSP) is used between _RemoteHost_ and _Host_, following the Just Works association model with user confirmation at _RemoteHost_. This is effective in preventing spoofing in insecure locations, but depends on there being one secure location where the numerical comparison can be made safely, and then the result stored for subsequent use.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Network,domain#CSG-AccountLockingAtHost,AccountLockingAtHost,"The number of login attempts at device _Host_ is limited, and user accounts locked when there are too many unsuccessful login attempts, or too many login attempts within a short period.",domain#TrustworthinessLevelSafe,FALSE,TRUE
package#Network,domain#CSG-AccountLockingAtService,AccountLockingAtService,"The number of login attempts at service _Service_ is limited, and user accounts locked when there are too many unsuccessful login attempts, or too many login attempts within a short period.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Network,domain#CSG-AutomaticScreenLock,AutomaticScreenLock,"Host device _Host_ is configured with an automated screen lock activated after a suitably short period of inactivity, requiring user _Human_ to re-authenticate before resuming a session.",domain#TrustworthinessLevelHigh,TRUE,TRUE
package#Network,domain#CSG-BiometricAccessControlAtHost,BiometricAccessControlAtHost,"Access to device _Host_ is controlled, by authenticating authorised users using biometrics.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Network,domain#CSG-BiometricIDCheckedAtHost,BiometricIDCheckedAtHost,"Users in the role _Human_ have a biometric ID such as a fingerprint registered with the system, enabling them to pass a biometric ID check to access host _Host_.",domain#TrustworthinessLevelSafe,TRUE,TRUE
package#Network,domain#CSG-BugFixingAtHost,BugFixingAtHost,"Use a systematic procedure for regular updating of software used (including hosted processes) on device _Host_, and have a contingency plan included in the system operating policies and practices for _HostManager_ to manually apply updates immediately should the need for them become urgent.",domain#TrustworthinessLevelSafe,FALSE,TRUE
